Fehlerkategorie;Techn. Platz;Techn. Identitätsnr.;Störungsbeginn;Massnahme;Fehlertext;Ursache;Traktion;Anlagenart;Ort;Dauer (in Std.)
X;01-0901-2-001-03;HCP3000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Wankdorf Bahnhof;0
X;01-0303-2-001-03;HCP0208;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Weissenbühl;0
X;01-9001-2-001-03;HCP5000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Depot Eiger;0
X;01-9001-2-001-03;HCP5006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Depot Eiger;0
X;01-0303-2-001-03;HCP5100;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Eigerplatz;0
X;01-0341-2-001-03;HCP0101;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Casino;0
C;01-0337-2-001-01;W2002;14.09.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;03-0101-026-01-2;;12.09.18;;sonstiges;unbekannt /sonstiges;;;;2
C;01-0337-2-001-01;W2002;12.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0337-2-001-01;W2002;12.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;03-0101-006-01-2;;10.09.18;Weitere Aktionen;Entgleisung;Technische Störung;;;;1
D;01-0340-2-001-03;HCP1009;11.09.18;Ausgetauscht;unbekannter Fehler;Technische Störung;Tr;Weichenheizungssteuerung;Wallgasse;31
C;03-0101-013-01;;10.09.18;;Fremdeinwirkungen;Drittverschulden;;;;4.4
C;01-0340-2-001-01;W1010;10.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
X;01-0902-2-001-01;STW0010;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0902-2-001-01;STW0011;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0341-2-001-01;STW0033;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Burgernziel;0
X;01-0342-2-001-01;STW0035;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Egghölzli;0
X;01-0802-2-001-01;STW0037;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Saali;0
X;01-0901-2-001-01;STW0071;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Wankdorf Bahnhof;0
X;01-0902-2-001-01;STW0073;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0902-2-001-01;STW0075;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0902-2-001-01;STW0077;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
C;03-0101-009;;03.09.18;;sonstiges;Höhere Gewalt;;;;0
C;01-9000-2-001-01;HNSA502/1;24.08.18;Weitere Aktionen;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
C;01-9000-2-001-01;HNSA502/2;22.08.18;Kontrolliert;Keine Endlage;Technische Störung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
C;01-9000-2-001-01;HNSA502/3;28.08.18;Weitere Aktionen;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1.5
B;02.09.5300/01;900.0.012.1;29.08.18;;verstellt;Technische Störung;;;;650
C;03-0101-011-01-2;;25.08.18;Ersetzt;Fahrleitungsschaden;Technische Störung;;;;1
C;01-0340-2-001-01;W1009;28.08.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;1
X;01-0339-2-001-01;STW0013;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Kocherpark;0
X;01-0339-2-001-01;STW0016;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Kocherpark;0
X;01-0339-2-001-01;STW0018;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Kocherpark;0
X;01-0903-2-001-01;STW0024;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Friedheim;0
X;01-0903-2-001-01;STW0028;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Wabern;0
X;01-0338-2-001-01;STW0057;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Brunnmatt;0
X;01-0337-2-001-01;STW0059;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Unterführung;0
X;01-0337-2-001-01;STW0062;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Unterführung;0
X;01-0703-2-001-01;STW0063;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Bümpliz;0
X;01-0337-2-001-01;STW0066;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Unterführung;0
X;01-0803-2-001-01;STW0067;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Holenacker;0
X;01-0803-2-001-01;STW0069;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Brünnen;0
X;01-0303-2-001-01;STW0021;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Weissenbühl;0
C;03-0101-005-01-1;;27.08.18;;Fremdeinwirkungen;Höhere Gewalt;;;;53.2
C;03-0101-011-01-1;;27.08.18;;Fahrleitungsschaden;unbekannt /sonstiges;;;;0
C;03-0101-008-01-1;;23.08.18;;Fremdeinwirkungen;Höhere Gewalt;;;;145.5
C;01-0902-2-001-01;W0105;23.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;0
C;01-0902-2-001-01;W0105;23.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;0
C;01-0902-2-001-01;HNP0105;22.08.18;Ausgetauscht;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Guisanplatz;0
C;01-0339-2-001-01;W0185;21.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;2.4
C;01-0902-2-001-01;HNP0105;18.08.18;Eingestellt;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Guisanplatz;1
C;01-0902-2-001-01;W0105;20.08.18;Weitere Aktionen;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;5.3
C;01-0340-2-001-01;W1010;20.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;03-0101-017-01-1;;15.08.18;Ausgetauscht;Elektrische Störung;Technische Störung;;;;10
C;01-0340-2-001-03;HCP0049;16.08.18;Ausgetauscht;Kurzschluss;Technische Störung;Tr;Weichenheizungssteuerung;Kornhaus;5
C;01-0902-2-001-01;W0105;15.08.18;;Block nicht gelöscht;unbekannt /sonstiges;Tr;Elektrische Weiche;Guisanplatz;0
C;01-0340-2-001-01;W1010;15.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;15.08.18;;Von Hand gestellt;unbekannt /sonstiges;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0337-2-001-01;W2005;15.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0340-2-001-01;W1010;13.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;13.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
X;03-0101-091-04;K9103;;Gewartet;kein Fehler;Geplante Instandhaltung;Tb;Kreuzung Tr-Tb;Dienstgeleise Trolleybus;0
X;03-0101-091-04;K9105;;Gewartet;kein Fehler;Geplante Instandhaltung;Tb;Kreuzung Tr-Tb;Dienstgeleise Trolleybus;0
X;01-9001-2-001-01;STW0105;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0106;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0107;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0108;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0109;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0110;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0111;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0112;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0113;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0114;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-0303-2-001-01;STW0019;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Eigerplatz;0
X;01-0303-2-001-01;STW0131;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Eigerplatz;0
X;01-0303-2-001-01;STW0020;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Eigerplatz;0
X;01-0303-2-001-01;STW0132;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Eigerplatz;0
X;01-9001-2-001-01;STW0133;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
X;01-9001-2-001-01;STW0134;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Eiger;0
C;01-0340-2-001-01;W1010;13.08.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;13.08.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;13.08.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-02;W1002;13.08.18;Weitere Aktionen;Von Hand gestellt;Technische Störung;;;;0.8
C;03-0101-005-01-1;;13.08.18;;Fahrleitungsschaden;Höhere Gewalt;;;;0.3
C;01-0340-2-001-01;W1010;13.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;10.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;10.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;03-0101-005-01-1;;09.08.18;;sonstiges;Technische Störung;;;;0
C;03-0101-005-01-1;;09.08.18;;sonstiges;Technische Störung;;;;0
C;01-0340-2-001-01;W1010;09.08.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1014;10.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Bundesgasse;0.4
C;01-9000-2-001-01;HNSA502/1;26.07.18;Repariert;unbekannter Fehler;Technische Störung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;8
C;01-0339-2-001-01;W0185;08.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0
C;01-0340-2-001-01;W1010;08.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;07.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;07.08.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0901-2-001-01;W3000;07.08.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Wankdorf Bahnhof;0
C;01-0339-2-001-01;W0188;07.08.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Kocherpark;0.2
C;01-0303-2-001-01;W0208;07.08.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Weissenbühl;0
C;01-0339-2-001-01;W0185;06.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0
C;01-0340-2-001-01;W1009;06.08.18;;Keine Endlage;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0.9
C;01-0340-2-001-01;W1009;06.08.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;06.08.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;06.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
X;03-0101-091-14;PE9101;;Gewartet;kein Fehler;Geplante Instandhaltung;;Pegelprüfstation Garage Eiger;;0
C;01-0340-2-001-01;W1010;06.08.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;06.08.18;;Keine Endlage;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;06.08.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0339-2-001-01;W0185;06.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0.3
C;01-0340-2-001-01;W1010;06.08.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;03.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;02.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;02.08.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0902-2-001-01;W3002;02.08.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;0
C;01-0339-2-001-01;W0185;02.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0.4
C;01-0340-2-001-01;W1010;02.08.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0339-2-001-01;W0185;31.07.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0.2
C;03-0101-005-01-1;;30.07.18;;sonstiges;Technische Störung;;;;0.9
C;01-0340-2-001-01;W1004;30.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0.6
C;01-0340-2-001-01;W1010;30.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;30.07.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;30.07.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;30.07.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;03-0101-091-01-2;;30.07.18;;sonstiges;Höhere Gewalt;;;;0.2
C;01-0339-2-001-01;W0185;27.07.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0.3
C;01-0340-2-001-01;W1010;26.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;26.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;24.07.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;24.07.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
B;01-0340-2-001-01;W1010;24.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;24.07.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1003;24.07.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0.4
C;01-0339-2-001-01;W0190;24.07.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Kocherpark;0.4
B;01-0340-2-001-01;W1010;23.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
B;01-0340-2-001-01;W1010;23.07.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1006;23.07.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Schwanengasse;0
C;01-0338-2-001-01;W2000;23.07.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Brunnmatt;0
C;03-0101-091-14;TOR9111;17.07.18;Eingestellt;Fahrleitungsschaden;Technische Störung;Tr;Torbrücke;Betriebshof Eiger;5
C;01-0902-2-001-01;HNP3006;17.07.18;Programmiert;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Guisanplatz;24
C;03-0101-017-01;;18.07.18;Weitere Aktionen;sonstiges;unbekannt /sonstiges;;;;0
B;01-0340-2-001-01;W1004;18.07.18;Kontrolliert;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Bahnhof;0
C;03-0101-012-05;W1202;16.07.18;Weitere Aktionen;Elektrische Störung;Technische Störung;Tb;Einlaufweiche;Bahnhof Ost;8
C;03-0101-011-05;W1107;17.07.18;Ersetzt;Entgleisung;unbekannt /sonstiges;Tb;Einlaufweiche;Bahnhof West;2.2
C;01-9000-2-001-01;HNSA502/2;01.07.18;Eingestellt;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
C;01-9000-2-001-01;HNSA502/3;13.07.18;Weitere Aktionen;Ausserhalb Toleranz;Technische Störung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
C;01-0340-2-001-01;W1004;16.07.18;Weitere Aktionen;Von Hand gestellt;unbekannt /sonstiges;Tr;Elektrische Weiche;Bahnhof;3.3
X;01-0340-2-001-01;STW0039;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Spitalgasse;0
X;01-0340-2-001-01;STW0051;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Hirschengraben;0
X;01-0340-2-001-01;STW0053;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Bundesgasse;0
C;01-0339-2-001-01;W0185;14.07.18;Eingestellt;Kein Block;Technische Störung;Tr;Elektrische Weiche;Kocherpark;3.2
C;01-0341-2-001-01;EXW0101;16.07.18;Weitere Aktionen;Kein Block;Technische Störung;;;;5.2
C;03-0101;;13.07.18;Weitere Aktionen;Fremdeinwirkungen;Höhere Gewalt;;;;1
C;03-0101-001-01;;13.07.18;;sonstiges;Höhere Gewalt;;;;0
C;03-0101-024-01;;13.07.18;Weitere Aktionen;sonstiges;Höhere Gewalt;;;;1
C;01-0339-2-001-01;W0185;11.07.18;Eingestellt;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;1
C;01-0339-2-001-01;W0185;12.07.18;Eingestellt;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;4.9
C;01-0339-2-001-01;W0185;11.07.18;Geschweisst;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;5.2
C;01-0902-2-001-01;W3002;11.07.18;Eingestellt;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;1
B;01-0339-2-001-01;W0185;10.07.18;Eingestellt;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;103.9
D;01-0340-2-001-01;HNP1006;04.07.18;;Elektrische Störung;Technische Störung;Tr;Elektrischer Weichensteuerung;Schwanengasse;0
C;03-0101-015-01-1;;03.07.18;;sonstiges;Technische Störung;;;;0
C;01-0339-2-001-01;W0185;03.07.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0
C;01-0341-2-001-01;EXW0101;03.07.18;;Block nicht gelöscht;Technische Störung;;;;0
D;01-0303-2-001-01;HNP5100;03.07.18;Weitere Aktionen;Block nicht gelöscht;Technische Störung;Tr;Elektrischer Weichensteuerung;Eigerplatz;169
C;03-0101-027-05;W2701;03.07.18;;Elektrische Störung;Technische Störung;Tb;Elektrische Weiche;Bollwerk;0
B;03-0101-011-05;W1102;01.07.18;Kontrolliert;Unbekannter Fehler;Technische Störung;Tb;Elektrische Weiche;Bahnhof West;1.4
C;01-0341-2-001-01;EXW0101;02.07.18;Eingestellt;Unbekannter Fehler;unbekannt /sonstiges;;;;315.3
C;01-9000-2-001-01;HNSA502/1;27.06.18;Weitere Aktionen;Ausserhalb Toleranz;;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
C;03-0101-029-01-2;;27.06.18;;Fremdeinwirkungen;Höhere Gewalt;;;;24.3
C;01-9001-2-001-01;W5001;27.06.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Depot Eiger;29.4
C;01-0902-2-001-01;W3002;26.06.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;8.4
X;01-9000-2-001-01;STW0081;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0082;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0083;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0084;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0086;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0088;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0089;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0090;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
X;01-9000-2-001-01;STW0091;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Depot Bolligenstrasse;0
